Common Word,Total Frequency,Websites
Uhr,314,"https://www.backwood.at (6), https://www.cinemanext.at (6), https://www.das-kollektiv.at (3), https://www.drehorgelkabarett.at (2), https://www.fro.at (22), https://www.kolibri-schule.at (2), https://www.nurdietoten.at (5), https://www.qujochoe.org (170), https://www.rudolfhabringer.at (12), https://www.schulradiotag.at (73), https://www.villanorth.at (6), https://www.wegstrecken.at (2), https://www.wolkenhaende.at (3), https://www.zeitgenossenschaft.at (2)"
Festival,94,"https://www.apileofghosts.com (11), https://www.backwood.at (4), https://www.doublehappiness.at (9), https://www.fdr.at (9), https://www.filmriss.at (5), https://www.kairus.org (4), https://www.kupf.at (3), https://www.linzfmr.at (5), https://www.pena-flamenca.at (4), https://www.radical-openness.org (5), https://www.remorauscher.at (20), https://www.sdmk.at (3), https://www.tschneid.servus.at (6), https://www.unruly-thoughts.com (6)"
Page,63,"https://www.derschueler.at (2), https://www.hungaromedia.at (8), https://www.igkultur.at (8), https://www.kuenstlerinnen.at (8), https://www.luckeneder-art.at (8), https://www.okabre.com (2), https://www.platform-socialism.org (3), https://www.regional-express.org (8), https://www.reinhardreisenzahn.com (2), https://www.remember-bruckner.com (8), https://www.stefaner-schmid.net (2), https://www.tauschkreis-freiwald.org (2), https://www.thomasbaum.at (2)"
Years,127,"https://www.dasfundus.net (5), https://www.die-schule.at (53), https://www.diesenreiter.at (13), https://www.faces-l.net (5), https://www.interstellarrecords.at (20), https://www.lustwerkstatt.at (2), https://www.rotespuren.at (7), https://www.sdmk.at (2), https://www.streettraining.org (9), https://www.theaternyx.at (4), https://www.timesup.org (3), https://www.workstation.or.at (4)"
Like,44,"https://www.1n0ut.com (3), https://www.apileofghosts.com (4), https://www.hungaromedia.at (2), https://www.interstellarrecords.at (20), https://www.kuenstlerinnen.at (2), https://www.linzfmr.at (2), https://www.luckeneder-art.at (2), https://www.platform-socialism.org (3), https://www.regional-express.org (2), https://www.remember-bruckner.com (2), https://www.tschoerda.at (2)"
Austria,58,"https://www.feminismus-krawall.at (2), https://www.frauenkultur.at (7), https://www.graztermine.at (5), https://www.kunzwana.net (3), https://www.palmfiction.net (3), https://www.peligro.at (2), https://www.schulradiotag.at (19), https://www.stwst.at (2), https://www.theaternacht.at (6), https://www.vonunten.at (7), https://www.zapalotta.org (2)"
November,65,"https://www.1n0ut.com (4), https://www.filmriss.at (5), https://www.freie-medien.at (6), https://www.kellerabteil.org (9), https://www.kolibri-schule.at (2), https://www.lauthals.org (8), https://www.theaternacht.at (10), https://www.themagdalenaproject.org (2), https://www.tinaleisch.at (2), https://www.villanorth.at (6), https://www.vonunten.at (11)"
Association,43,"https://www.archivia.at (9), https://www.collective-ika.org (2), https://www.frauenkultur.at (7), https://www.hr-ctrl.or.at (2), https://www.hr-ctrl.or.at (3), https://www.kolibri-schule.at (2), https://www.kunzwana.net (3), https://www.maiz.at (2), https://www.piramidops.at (3), https://www.velodrom-linz.at (3), https://www.verein-ent.at (7)"
Film,66,"https://www.100-dakar.com (2), https://www.apileofghosts.com (16), https://www.boxafilm.com (8), https://www.corpushomini.info (3), https://www.doublehappiness.at (12), https://www.ellaraidel.com (4), https://www.hauntedspaces.net (5), https://www.peterandrosch.at (2), https://www.programmkinowels.at (6), https://www.retrogoldmine.com (8)"
History,80,"https://www.boxafilm.com (4), https://www.die-schule.at (47), https://www.hoerspuren.at (2), https://www.programmkinowels.at (8), https://www.retrogoldmine.com (4), https://www.rotespuren.at (6), https://www.steingeschichten.at (4), https://www.stwst.at (2), https://www.workstation.or.at (3)"
April,91,"https://www.archivia.at (33), https://www.backwood.at (7), https://www.eliot.at (3), https://www.igkultur.at (4), https://www.kellerabteil.org (8), https://www.kupf.at (2), https://www.qujochoe.org (25), https://www.unkraut-comics.at (4), https://www.zapalotta.org (5)"
June,100,"https://www.archivia.at (16), https://www.backwood.at (11), https://www.fdr.at (2), https://www.kellerabteil.org (6), https://www.landgaenge.eu (5), https://www.lauthals.org (16), https://www.nurdietoten.at (10), https://www.qujochoe.org (31), https://www.unkraut-comics.at (3)"
Vienna,47,"https://www.apileofghosts.com (3), https://www.frauenkultur.at (11), https://www.hoerspuren.at (2), https://www.rotespuren.at (7), https://www.selbstlaut.net (2), https://www.theaternyx.at (5), https://www.tschneid.servus.at (6), https://www.tschneid.servus.at (8), https://www.zapalotta.org (3)"
Exhibition,41,"https://www.andreaszingerle.com (2), https://www.anna-fiala.at (3), https://www.argemarie.at (9), https://www.bb15.at (7), https://www.derkaktus.at (3), https://www.eipcp.net (5), https://www.kuva.at (5), https://www.stefaner-schmid.net (2), https://www.villanorth.at (5)"
Please,24,"https://www.drehorgelkabarett.at (2), https://www.hungaromedia.at (2), https://www.kuenstlerinnen.at (2), https://www.luckeneder-art.at (2), https://www.memphismemph.is (8), https://www.pena-flamenca.at (2), https://www.regional-express.org (2), https://www.reinhardreisenzahn.com (2), https://www.remember-bruckner.com (2)"
Design,90,"https://www.argemarie.at (5), https://www.argemarie.at (7), https://www.collective-ika.org (5), https://www.fraumayr.at (4), https://www.fraumayr.at (52), https://www.fraumayr.at (7), https://www.gfa.or.at (2), https://www.tschneid.servus.at (8)"
December,69,"https://www.diesenreiter.at (11), https://www.ellaraidel.com (2), https://www.freie-medien.at (5), https://www.kellerabteil.org (9), https://www.lauthals.org (6), https://www.qujochoe.org (28), https://www.themagdalenaproject.org (2), https://www.tschoerda.at (6)"
One,48,"https://www.arttraffic-strand.net (2), https://www.bb15.at (7), https://www.hauntedspaces.net (3), https://www.ingorandolf.info (3), https://www.interstellarrecords.at (22), https://www.kunzwana.net (3), https://www.migrazine.at (4), https://www.valina.at (4)"
Video,40,"https://www.backwood.at (5), https://www.benjaminwahl.at (3), https://www.ellaraidel.com (3), https://www.selbstlaut.net (2), https://www.skodone.at (3), https://www.sunobwegeser.net (3), https://www.triviale.at (2), https://www.tschneid.servus.at (19)"
Women,40,"https://www.diequote.at (6), https://www.feminismus-krawall.at (2), https://www.frauenkultur.at (12), https://www.igkultur.at (3), https://www.lustwerkstatt.at (2), https://www.rotespuren.at (6), https://www.themagdalenaproject.org (2), https://www.unruly-thoughts.com (7)"
Media,34,"https://www.boxafilm.com (3), https://www.faces-l.net (10), https://www.kellerabteil.org (3), https://www.konsortium.at (2), https://www.radical-openness.org (2), https://www.retrogoldmine.com (3), https://www.steingeschichten.at (7), https://www.stwst.at (4)"
Social,40,"https://www.boxafilm.com (4), https://www.diebresche.org (8), https://www.donau-danube.eu (2), https://www.faces-l.net (5), https://www.kellerabteil.org (3), https://www.retrogoldmine.com (4), https://www.tschneid.servus.at (7), https://www.zumutbar.at (7)"
Februar,33,"https://www.derschueler.at (2), https://www.kuva.at (7), https://www.nurdietoten.at (2), https://www.tabeacray.com (6), https://www.theaternyx.at (2), https://www.tschoerda.at (2), https://www.unkraut-comics.at (6), https://www.villanorth.at (6)"
Use,25,"https://www.benjaminwahl.at (5), https://www.cinemanext.at (5), https://www.dasholzhaus.at (2), https://www.ingridschiller.at (2), https://www.peligro.at (2), https://www.photosalonhelga.com (2), https://www.sebastiansix.net (2), https://www.skodone.at (5)"
Site,24,"https://www.anja.west.servus.at (2), https://www.benjaminwahl.at (5), https://www.dasholzhaus.at (2), https://www.downinthehole.org (3), https://www.platform-socialism.org (2), https://www.skodone.at (5), https://www.stefaner-schmid.net (2), https://www.themagdalenaproject.org (3)"
Was,118,"https://www.argemarie.at (6), https://www.derschueler.at (2), https://www.die-schule.at (84), https://www.diesenreiter.at (13), https://www.innenraumlavinia.at (6), https://www.sdmk.at (2), https://www.theaternacht.at (5)"
Since,75,"https://www.akku-steyr.com (2), https://www.cinemanext.at (5), https://www.die-schule.at (53), https://www.eliot.at (6), https://www.fdr.at (2), https://www.stwst.at (2), https://www.velodrom-linz.at (5)"
Free,88,"https://www.archivia.at (17), https://www.deathpositiv.at (2), https://www.radio-fri.at (3), https://www.schulradiotag.at (22), https://www.schulradiotag.at (40), https://www.stwst.at (2), https://www.tauschkreis-freiwald.org (2)"
September,52,"https://www.archivia.at (19), https://www.buergerinnenrat.at (3), https://www.kellerabteil.org (7), https://www.tabeacray.com (5), https://www.themagdalenaproject.org (8), https://www.unkraut-comics.at (4), https://www.zapalotta.org (6)"
Music,37,"https://www.akku-steyr.com (2), https://www.lauthals.org (16), https://www.sdmk.at (3), https://www.stephanroiss.at (2), https://www.tamaratrackt.at (4), https://www.totalsilence.de (4), https://www.villanorth.at (6)"
Gives,36,"https://www.buergerinnenrat.at (4), https://www.das-kollektiv.at (2), https://www.diebresche.org (9), https://www.diesenreiter.at (13), https://www.freie-medien.at (3), https://www.igkultur.at (3), https://www.texta.at (2)"
Read,41,"https://www.andreaszingerle.com (5), https://www.eliot.at (3), https://www.ellaraidel.com (7), https://www.fiftitu.at (4), https://www.freie-medien.at (10), https://www.kairus.org (6), https://www.kunzwana.net (6)"
Collective,25,"https://www.collective-ika.org (3), https://www.das-kollektiv.at (5), https://www.fiftitu.at (4), https://www.maiz.at (2), https://www.shanefinan.org (7), https://www.stwst.at (2), https://www.tamaratrackt.at (2)"
Would,19,"https://www.hungaromedia.at (2), https://www.kuenstlerinnen.at (2), https://www.luckeneder-art.at (2), https://www.regional-express.org (2), https://www.remember-bruckner.com (2), https://www.valina.at (4), https://www.waytoshambala.org (5)"
Content,19,"https://www.hungaromedia.at (3), https://www.kuenstlerinnen.at (3), https://www.luckeneder-art.at (3), https://www.platform-socialism.org (2), https://www.regional-express.org (3), https://www.remember-bruckner.com (3), https://www.themagdalenaproject.org (2)"
School,358,"https://www.alteschule-gutau.at (4), https://www.derkaktus.at (2), https://www.derschueler.at (5), https://www.die-schule.at (285), https://www.schulradiotag.at (60), https://www.zeitgenossenschaft.at (2)"
Radio,197,"https://www.frf.at (2), https://www.fro.at (15), https://www.radio-fri.at (6), https://www.schulradiotag.at (169), https://www.stwst.at (3), https://www.wegstrecken.at (2)"
Workshop,34,"https://www.anna-fiala.at (4), https://www.das-kollektiv.at (2), https://www.fiftitu.at (5), https://www.mzbaltazarslaboratory.org (17), https://www.theater-tamtam.org (2), https://www.unruly-thoughts.com (4)"
Installation,39,"https://www.anja.west.servus.at (3), https://www.bettywimmer.net (2), https://www.geraldkogler.com (5), https://www.grgr.at (8), https://www.sunobwegeser.net (17), https://www.tschneid.servus.at (4)"
Political,37,"https://www.diebresche.org (15), https://www.ig-demokratie.at (2), https://www.kellerabteil.org (3), https://www.rotespuren.at (7), https://www.vonunten.at (8), https://www.wassermair.net (2)"
Life,30,"https://www.deathpositiv.at (3), https://www.gfa.or.at (2), https://www.kolibri-schule.at (2), https://www.rudolfhabringer.at (6), https://www.timesup.org (13), https://www.zapalotta.org (4)"
Book,26,"https://www.dasparkhotel.net (2), https://www.eipcp.net (9), https://www.ellaraidel.com (3), https://www.kairus.org (2), https://www.palmfiction.net (6), https://www.shanefinan.org (4)"
Linux,37,"https://www.hungaromedia.at (7), https://www.kuenstlerinnen.at (7), https://www.luckeneder-art.at (7), https://www.lugl.at (2), https://www.regional-express.org (7), https://www.remember-bruckner.com (7)"
World,17,"https://www.argemarie.at (5), https://www.boxafilm.com (2), https://www.kairus.org (4), https://www.quasikunst.at (2), https://www.retrogoldmine.com (2), https://www.waytoshambala.org (2)"
January,18,"https://www.grgr.at (3), https://www.kellerabteil.org (3), https://www.sunobwegeser.net (2), https://www.unkraut-comics.at (4), https://www.wirtshauswissenschaften.at (3), https://www.wolkenhaende.at (3)"
Send,13,"https://www.hungaromedia.at (2), https://www.ingorandolf.info (3), https://www.kuenstlerinnen.at (2), https://www.luckeneder-art.at (2), https://www.regional-express.org (2), https://www.remember-bruckner.com (2)"
Experience,18,"https://www.100-dakar.com (3), https://www.benjaminwahl.at (3), https://www.drehorgelkabarett.at (3), https://www.ingridschiller.at (3), https://www.peligro.at (3), https://www.skodone.at (3)"
Contents,12,"https://www.heartofnoise.at (2), https://www.hr-ctrl.or.at (2), https://www.mute.audio (2), https://www.republicart.net (2), https://www.shiatsu-stef.at (2), https://www.tschoerda.at (2)"
Always,81,"https://www.anja.west.servus.at (2), https://www.die-schule.at (68), https://www.fdr.at (2), https://www.fuckhead.at (6), https://www.tschoerda.at (3)"
Peter,85,"https://www.die-schule.at (66), https://www.drdidi.at (2), https://www.landgaenge.eu (6), https://www.peterandrosch.at (6), https://www.villanorth.at (5)"
Programme,73,"https://www.archivia.at (10), https://www.davidebevilacqua.com (2), https://www.drehorgelkabarett.at (2), https://www.schulradiotag.at (54), https://www.theaternacht.at (5)"
Time,95,"https://www.die-schule.at (45), https://www.interstellarrecords.at (19), https://www.tauschkreis-freiwald.org (2), https://www.timesup.org (21), https://www.vonunten.at (8)"
Open,55,"https://www.archivia.at (11), https://www.fdr.at (32), https://www.radical-openness.org (7), https://www.werkenmitwiderstand.org (2), https://www.wirtshauswissenschaften.at (3)"
Topic,34,"https://www.kupf.at (3), https://www.lustwerkstatt.at (2), https://www.schulradiotag.at (24), https://www.theater-tamtam.org (2), https://www.wirtshauswissenschaften.at (3)"
October,41,"https://www.anna-fiala.at (3), https://www.kellerabteil.org (7), https://www.qujochoe.org (24), https://www.unkraut-comics.at (4), https://www.valina.at (3)"
July,45,"https://www.archivia.at (9), https://www.backwood.at (12), https://www.davidebevilacqua.com (2), https://www.kellerabteil.org (6), https://www.sunobwegeser.net (16)"
Digital,43,"https://www.archivia.at (11), https://www.faces-l.net (7), https://www.linzfmr.at (6), https://www.mzbaltazarslaboratory.org (15), https://www.unruly-thoughts.com (4)"
Cultural,31,"https://www.100-dakar.com (3), https://www.archivia.at (13), https://www.eipcp.net (9), https://www.kunzwana.net (3), https://www.stwst.at (3)"
Politics,26,"https://www.igkultur.at (5), https://www.lustwerkstatt.at (3), https://www.vonunten.at (12), https://www.wassermair.net (3), https://www.wirtshauswissenschaften.at (3)"
Work,29,"https://www.anna-kraher.de (2), https://www.eliot.at (7), https://www.faces-l.net (7), https://www.faxen-collective.net (2), https://www.grgr.at (11)"
Working,19,"https://www.anna-fiala.at (3), https://www.apephonie.org (2), https://www.eliot.at (2), https://www.fiftitu.at (10), https://www.leodressel.net (2)"
Read more,23,"https://www.lustwerkstatt.at (5), https://www.texta.at (3), https://www.thomasbaum.at (2), https://www.workstation.or.at (3), https://www.zapalotta.org (10)"
News,23,"https://www.andreaszingerle.com (4), https://www.deathpositiv.at (2), https://www.palmfiction.net (5), https://www.streettraining.org (2), https://www.villanorth.at (10)"
Artist,24,"https://www.andreaszingerle.com (2), https://www.ellaraidel.com (3), https://www.faces-l.net (9), https://www.faxen-collective.net (3), https://www.shanefinan.org (7)"
Room,18,"https://www.anna-fiala.at (4), https://www.drdidi.at (2), https://www.hoerstadt.at (2), https://www.ingorandolf.info (8), https://www.themagdalenaproject.org (2)"
Rocky,40,"https://www.hungaromedia.at (8), https://www.kuenstlerinnen.at (8), https://www.luckeneder-art.at (8), https://www.regional-express.org (8), https://www.remember-bruckner.com (8)"
Public,21,"https://www.collective-ika.org (2), https://www.frauenkultur.at (6), https://www.kellerabteil.org (3), https://www.konsortium.at (2), https://www.linzfmr.at (8)"
Labour,16,"https://www.andreaszingerle.com (2), https://www.anja.west.servus.at (2), https://www.lustwerkstatt.at (2), https://www.reinhardreisenzahn.com (2), https://www.tschneid.servus.at (8)"
User,20,"https://www.diequote.at (7), https://www.ingridschiller.at (2), https://www.kairus.org (6), https://www.lugl.at (2), https://www.rudolfhabringer.at (3)"
Projects,17,"https://www.collective-ika.org (2), https://www.das-kollektiv.at (3), https://www.deathpositiv.at (4), https://www.ingorandolf.info (6), https://www.wegstrecken.at (2)"
Six,14,"https://www.faxen-collective.net (2), https://www.sdmk.at (2), https://www.sebastiansix.net (3), https://www.villanorth.at (5), https://www.wohnzimmergalerie.net (2)"
Test,20,"https://www.hungaromedia.at (4), https://www.kuenstlerinnen.at (4), https://www.luckeneder-art.at (4), https://www.regional-express.org (4), https://www.remember-bruckner.com (4)"
Space,15,"https://www.anna-kraher.de (3), https://www.bb15.at (4), https://www.collective-ika.org (2), https://www.linzfmr.at (3), https://www.radical-openness.org (3)"
Software,15,"https://www.hungaromedia.at (3), https://www.kuenstlerinnen.at (3), https://www.luckeneder-art.at (3), https://www.regional-express.org (3), https://www.remember-bruckner.com (3)"
Server,15,"https://www.hungaromedia.at (3), https://www.kuenstlerinnen.at (3), https://www.luckeneder-art.at (3), https://www.regional-express.org (3), https://www.remember-bruckner.com (3)"
Add,15,"https://www.hungaromedia.at (3), https://www.kuenstlerinnen.at (3), https://www.luckeneder-art.at (3), https://www.regional-express.org (3), https://www.remember-bruckner.com (3)"
Youve,10,"https://www.hungaromedia.at (2), https://www.kuenstlerinnen.at (2), https://www.luckeneder-art.at (2), https://www.regional-express.org (2), https://www.remember-bruckner.com (2)"
Visiting,10,"https://www.hungaromedia.at (2), https://www.kuenstlerinnen.at (2), https://www.luckeneder-art.at (2), https://www.regional-express.org (2), https://www.remember-bruckner.com (2)"
Http,10,"https://www.hungaromedia.at (2), https://www.kuenstlerinnen.at (2), https://www.luckeneder-art.at (2), https://www.regional-express.org (2), https://www.remember-bruckner.com (2)"
Foundation,10,"https://www.hungaromedia.at (2), https://www.kuenstlerinnen.at (2), https://www.luckeneder-art.at (2), https://www.regional-express.org (2), https://www.remember-bruckner.com (2)"
Enterprise,10,"https://www.hungaromedia.at (2), https://www.kuenstlerinnen.at (2), https://www.luckeneder-art.at (2), https://www.regional-express.org (2), https://www.remember-bruckner.com (2)"
Email,10,"https://www.hungaromedia.at (2), https://www.kuenstlerinnen.at (2), https://www.luckeneder-art.at (2), https://www.regional-express.org (2), https://www.remember-bruckner.com (2)"
Pupils,183,"https://www.derschueler.at (3), https://www.die-schule.at (53), https://www.schulradiotag.at (107), https://www.schulradiotag.at (20)"
Already,84,"https://www.die-schule.at (74), https://www.filmriss.at (2), https://www.pmk.or.at (2), https://www.vonunten.at (6)"
Androsch,65,"https://www.die-schule.at (53), https://www.drdidi.at (2), https://www.frf.at (2), https://www.peterandrosch.at (8)"
Theater,68,"https://www.remorauscher.at (41), https://www.theater-tamtam.org (5), https://www.theaternacht.at (19), https://www.theaternyx.at (3)"
Mai,67,"https://www.1n0ut.com (17), https://www.backwood.at (13), https://www.kellerabteil.org (7), https://www.qujochoe.org (30)"
Album,39,"https://www.base.at (2), https://www.interstellarrecords.at (29), https://www.lauthals.org (6), https://www.okabre.com (2)"
Posted,40,"https://www.andreaszingerle.com (5), https://www.anna-fiala.at (4), https://www.grgr.at (10), https://www.sunobwegeser.net (21)"
Urban,25,"https://www.base.at (2), https://www.doublehappiness.at (2), https://www.hauntedspaces.net (2), https://www.ingorandolf.info (19)"
Democracy,39,"https://www.buergerinnenrat.at (6), https://www.ig-demokratie.at (14), https://www.rotespuren.at (9), https://www.vonunten.at (10)"
Feminist,33,"https://www.faces-l.net (6), https://www.feminismus-krawall.at (2), https://www.mzbaltazarslaboratory.org (13), https://www.unruly-thoughts.com (12)"
Year,23,"https://www.diesenreiter.at (12), https://www.filmriss.at (2), https://www.timesup.org (7), https://www.workstation.or.at (2)"
Hope,18,"https://www.filmriss.at (2), https://www.interregnum.live (2), https://www.thomasbaum.at (11), https://www.thomasbaum.at (3)"
Berlin,30,"https://www.anna-kraher.de (3), https://www.argemarie.at (5), https://www.faces-l.net (11), https://www.ingorandolf.info (11)"
Owls,18,"https://www.archivia.at (10), https://www.ig-demokratie.at (3), https://www.innenraumlavinia.at (3), https://www.sdmk.at (2)"
Part,20,"https://www.diebresche.org (9), https://www.sdmk.at (3), https://www.shanefinan.org (4), https://www.valina.at (4)"
Event,27,"https://www.faces-l.net (7), https://www.fraumayr.at (9), https://www.kuva.at (6), https://www.theaternacht.at (5)"
Ella,16,"https://www.apileofghosts.com (3), https://www.doublehappiness.at (2), https://www.ellaraidel.com (9), https://www.hauntedspaces.net (2)"
Anna,20,"https://www.anna-fiala.at (4), https://www.anna-kraher.de (5), https://www.lllk.at (3), https://www.mzbaltazarslaboratory.org (8)"
Tracks,17,"https://www.lauthals.org (5), https://www.rotespuren.at (7), https://www.texta.at (3), https://www.totalsilence.de (2)"
Research,16,"https://www.davidebevilacqua.com (3), https://www.ellaraidel.com (3), https://www.hauntedspaces.net (3), https://www.mzbaltazarslaboratory.org (7)"
Raidel,15,"https://www.antonraidel.com (2), https://www.apileofghosts.com (4), https://www.ellaraidel.com (6), https://www.hauntedspaces.net (3)"
Found,17,"https://www.fdr.at (2), https://www.filmriss.at (3), https://www.theaternacht.at (6), https://www.vonunten.at (6)"
Documentary,19,"https://www.apileofghosts.com (5), https://www.boxafilm.com (4), https://www.doublehappiness.at (6), https://www.retrogoldmine.com (4)"
Technical,18,"https://www.grgr.at (3), https://www.peterandrosch.at (5), https://www.radio-fri.at (5), https://www.theater-tamtam.org (5)"
At the,13,"https://www.anja.west.servus.at (2), https://www.sdmk.at (4), https://www.steingeschichten.at (5), https://www.velodrom-linz.at (2)"
Artists,15,"https://www.100-dakar.com (3), https://www.frauenkultur.at (4), https://www.totalsilence.de (3), https://www.unruly-thoughts.com (5)"
Andreas,14,"https://www.andreaskurz.net (2), https://www.andreaszingerle.com (5), https://www.freie-medien.at (4), https://www.kairus.org (3)"
May,12,"https://www.benjaminwahl.at (3), https://www.ingridschiller.at (2), https://www.lauthals.org (4), https://www.skodone.at (3)"
Improve,9,"https://www.dasholzhaus.at (3), https://www.drehorgelkabarett.at (2), https://www.ingridschiller.at (2), https://www.peligro.at (2)"
Browser,10,"https://www.benjaminwahl.at (3), https://www.ingridschiller.at (2), https://www.peligro.at (2), https://www.skodone.at (3)"
